,JPM,IVV,AGG,TLT,EEM,HYG,Bridgewater_replicator,TwoSigma_factor_proxy,MTUM,VLUE,DBMF,^GSPC,^N225
JPM,1.0,0.7374856311879774,-0.787782807489704,-0.8624731065650104,0.6571293875365924,0.7530931691502724,,0.8126342574954946,0.7522650678353873,0.873458496067305,0.8928075465524408,0.7350281986202497,0.7259103701350689
IVV,0.7374856311879774,1.0,-0.2723367778304218,-0.4504420207605348,0.9516962759286789,0.9314922905835861,,0.9872512030850323,0.9403688422078391,0.9461798167617003,0.8748489259184622,0.9995345834361733,0.7295476410902815
AGG,-0.787782807489704,-0.2723367778304218,1.0,0.9641952989559263,-0.22786877813833833,-0.4087367427213516,,-0.3961077895595182,-0.3653226403544964,-0.5233637710704276,-0.6076619950868403,-0.261569555909026,-0.40434018639381286
TLT,-0.8624731065650104,-0.4504420207605348,0.9641952989559263,1.0,-0.38096267938500883,-0.5904039840270193,,-0.5463134625776914,-0.4876182698531199,-0.6470061371205996,-0.704252573036375,-0.4428348366532052,-0.6101412955225365
EEM,0.6571293875365924,0.9516962759286789,-0.22786877813833833,-0.38096267938500883,1.0,0.942187410383728,,0.9391659388687301,0.8890240943025419,0.8838068951352107,0.8763750803266446,0.9485910289906738,0.6902389957730346
HYG,0.7530931691502724,0.9314922905835861,-0.4087367427213516,-0.5904039840270193,0.942187410383728,1.0,,0.9222593216177081,0.8305399018819846,0.8866938660454619,0.8895416940949011,0.9295725268650744,0.853752449334775
Bridgewater_replicator,,,,,,,,,,,,,
TwoSigma_factor_proxy,0.8126342574954946,0.9872512030850323,-0.3961077895595182,-0.5463134625776914,0.9391659388687301,0.9222593216177081,,1.0,0.9611109102254456,0.9839588413600561,0.930189557566001,0.9839500336142216,0.7053875811800009
MTUM,0.7522650678353873,0.9403688422078391,-0.3653226403544964,-0.4876182698531199,0.8890240943025419,0.8305399018819846,,0.9611109102254456,1.0,0.9402790342346383,0.8595655147532785,0.9378191115743287,0.5730450272807954
VLUE,0.873458496067305,0.9461798167617003,-0.5233637710704276,-0.6470061371205996,0.8838068951352107,0.8866938660454619,,0.9839588413600561,0.9402790342346383,1.0,0.9595275562772217,0.9396386909721107,0.6708128025512685
DBMF,0.8928075465524408,0.8748489259184622,-0.6076619950868403,-0.704252573036375,0.8763750803266446,0.8895416940949011,,0.930189557566001,0.8595655147532785,0.9595275562772217,1.0,0.8652964423473347,0.700487975282086
^GSPC,0.7350281986202497,0.9995345834361733,-0.261569555909026,-0.4428348366532052,0.9485910289906738,0.9295725268650744,,0.9839500336142216,0.9378191115743287,0.9396386909721107,0.8652964423473347,1.0,0.7376730771029018
^N225,0.7259103701350689,0.7295476410902815,-0.40434018639381286,-0.6101412955225365,0.6902389957730346,0.853752449334775,,0.7053875811800009,0.5730450272807954,0.6708128025512685,0.700487975282086,0.7376730771029018,1.0
