,JPM,IVV,AGG,TLT,EEM,HYG,Bridgewater_replicator,TwoSigma_factor_proxy,MTUM,VLUE,DBMF,^GSPC,^N225
JPM,1.0,0.2281567565701617,-0.04900158795112278,-0.0723140773188121,0.2617295269816361,0.12582329084817873,,0.30265287697017346,0.07484161330382766,0.4789721789486882,0.20574452309988522,0.23135856563568355,0.0018912493328324177
IVV,0.2281567565701617,1.0,0.33980245742960113,0.27339325437582723,0.70486153162166,0.5859703343688651,,0.9380513995758495,0.9016376031826,0.5952054751126977,0.3437549312830695,0.998613354408288,0.15825266413275496
AGG,-0.04900158795112278,0.33980245742960113,1.0,0.9569288537143015,0.419119878898846,0.7551508777813432,,0.15023122492181218,0.16702505826551073,0.362427499286919,-0.5333965217387507,0.3359104762534148,0.13090675071457766
TLT,-0.0723140773188121,0.27339325437582723,0.9569288537143015,1.0,0.3144590459784459,0.6461912189266333,,0.08708510975600055,0.10670215991081954,0.25801588754054233,-0.5122590568242741,0.27166110789968634,0.12616330347866592
EEM,0.2617295269816361,0.70486153162166,0.419119878898846,0.3144590459784459,1.0,0.617295805500152,,0.6775996564853944,0.6269911702431682,0.5408534214083538,0.2129234919917298,0.7053591058213734,0.22790853875032596
HYG,0.12582329084817873,0.5859703343688651,0.7551508777813432,0.6461912189266333,0.617295805500152,1.0,,0.45503999324367034,0.3983610587079222,0.5807871181828331,-0.2221552355812569,0.5815784427470744,0.09531513320261849
Bridgewater_replicator,,,,,,,,,,,,,
TwoSigma_factor_proxy,0.30265287697017346,0.9380513995758495,0.15023122492181218,0.08708510975600055,0.6775996564853944,0.45503999324367034,,1.0,0.8865740307740926,0.6742636989399763,0.5497272098469568,0.9363783247063703,0.08659212409949993
MTUM,0.07484161330382766,0.9016376031826,0.16702505826551073,0.10670215991081954,0.6269911702431682,0.3983610587079222,,0.8865740307740926,1.0,0.3655602203965995,0.40603622407438883,0.9005718289782195,0.1309539882252227
VLUE,0.4789721789486882,0.5952054751126977,0.362427499286919,0.25801588754054233,0.5408534214083538,0.5807871181828331,,0.6742636989399763,0.3655602203965995,1.0,0.09498039716779533,0.5893740888270426,0.0054654911568970295
DBMF,0.20574452309988522,0.3437549312830695,-0.5333965217387507,-0.5122590568242741,0.2129234919917298,-0.2221552355812569,,0.5497272098469568,0.40603622407438883,0.09498039716779533,1.0,0.3496476787973452,0.009285253720917952
^GSPC,0.23135856563568355,0.998613354408288,0.3359104762534148,0.27166110789968634,0.7053591058213734,0.5815784427470744,,0.9363783247063703,0.9005718289782195,0.5893740888270426,0.3496476787973452,1.0,0.16148852196341107
^N225,0.0018912493328324177,0.15825266413275496,0.13090675071457766,0.12616330347866592,0.22790853875032596,0.09531513320261849,,0.08659212409949993,0.1309539882252227,0.0054654911568970295,0.009285253720917952,0.16148852196341107,1.0
