ticker,label,covid_2020_drawdown,yen_carry_2024_drawdown,covid_2020_volbreach,yen_carry_2024_volbreach
AGG,BlackRock (AGG proxy),-0.0957917594816875,-0.037104866810328097,3.859146392313721,1.3046353341911905
BLK,BlackRock (equity),-0.42331493862673175,-0.0521847781111594,,
Bridgewater_replicator,Bridgewater (replicator),-0.15672467249972022,-0.04599809351698925,2.557764051740718,1.422241924276924
DBC,DBC,-0.30728661942923163,-0.07385393593592382,,
DBMF,Two Sigma (managed-fut. proxy),-0.10427789185489367,-0.07325502421432795,2.1575908811958504,2.022831238476502
DX-Y.NYB,DX-Y.NYB,-0.08005013387244742,-0.040012798494900026,,
EEM,EEM,-0.3079358103409626,-0.09311657142943441,,
GLD,GLD,-0.1252772611261238,-0.0812038977169296,,
HYG,HYG,-0.22028674538636162,-0.011659711483604007,,
IVV,BlackRock (IVV proxy),-0.3390314039025871,-0.059893047283456124,3.8451126479600632,1.3723573183281303
JEPI,JPMorgan (JEPI),,-0.03865980432869176,,2.036673717755327
JEPQ,JPMorgan (JEPQ),,-0.06741973257752076,,2.0740273429132614
JPM,JPMorgan (equity),-0.42519441587284534,-0.0841165749443562,,
JPY=X,JPY=X,-0.07897889026433436,-0.07781492778735721,,
MTUM,Two Sigma (momentum proxy),-0.3408228639422124,-0.08121702009680398,3.3309270490474563,1.8811580853678858
QUAL,QUAL,-0.34056746435764973,-0.05320756655705805,,
TIP,TIP,-0.1120451047359865,-0.028919228073933434,,
TLT,BlackRock (TLT proxy),-0.15727719567571563,-0.11051764541299547,,
TwoSigma_factor_proxy,Two Sigma (factor proxy),-0.30129301906107975,-0.061946798076390475,3.869438323632355,1.6546521574704685
USMV,USMV,-0.3302195330670995,-0.0318985948318935,,
VLUE,VLUE,-0.38760381634975616,-0.07853876273557636,,
^GSPC,S&P 500 (benchmark),-0.33924960002653304,-0.06083873357931735,,
^MOVE,^MOVE,-0.7639223657332518,-0.43601710554611717,,
^N225,Nikkei 225 (benchmark),-0.27063120334212076,-0.19547428558413094,,
^VIX,VIX (level),-0.7061904590561456,-0.749846509130784,,
